Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
118,6322 (87.8520637),320937210,Electronics and ,JEE(Main),AI to AI,AI,3209
,,,Telecommunication Engg,,,,
119,6350 (87.8316611),313524510,Computer Engineering,JEE(Main),AI to AI,AI,3135
,,,,,,,
120,6353 (87.8118406),615624510,Computer Engineering,JEE(Main),AI to AI,AI,6156
121,6366 (87.8083595),318591610,Automation and Robotics,JEE(Main),AI to AI,AI,3185
,,,,,,,
122,6371 (87.8026890),416724210,Computer Science and ,JEE(Main),AI to AI,AI,4167
,,,Engineering,,,,
123,6379 (87.7976987),416725110,Computer Technology,JEE(Main),AI to AI,AI,4167
124,6398 (87.7599228),318490010,Electronics and Computer ,JEE(Main),AI to AI,AI,3184
,,,Science,,,,
125,6502 (87.5715347),319737210,Electronics and ,JEE(Main),AI to AI,AI,3197
,,,Telecommunication Engg,,,,
126,6607 (87.3567004),512124510,Computer Engineering,JEE(Main),AI to AI,AI,5121
,,,,,,,
127,6615 (87.3495097),613924610,Information Technology,JEE(Main),AI to AI,AI,6139
128,6698 (87.2373247),318924610,Information Technology,JEE(Main),AI to AI,AI,3189
129,6723 (87.1859430),617724610,Information Technology,JEE(Main),AI to AI,AI,6177
130,6815 (87.0561068),615624610,Information Technology,JEE(Main),AI to AI,AI,6156
131,6820 (87.0561068),303672910,Surface Coating ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
132,6851 (86.9941564),620799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6207
,,,Data Science,,,,
133,6860 (86.9870453),320724610,Information Technology,JEE(Main),AI to AI,AI,3207
134,6887 (86.9748695),411561210,Mechanical Engineering,JEE(Main),AI to AI,AI,4115
135,6993 (86.7528971),627361210,Mechanical Engineering,JEE(Main),AI to AI,AI,6273
,,,,,,,
136,7021 (86.7081695),317637210,Electronics and ,JEE(Main),AI to AI,AI,3176
,,,Telecommunication Engg,,,,
137,7071 (86.6462282),318537210,Electronics and ,JEE(Main),AI to AI,AI,3185
,,,Telecommunication Engg,,,,
138,7127 (86.5314596),321199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3211
,,,Data Science,,,,
139,7179 (86.4197722),321192110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3211
,,,Machine Learning,,,,
140,7260 (86.3252059),628124510,Computer Engineering,JEE(Main),AI to AI,AI,6281
,,,,,,,
141,7263 (86.3252059),314899510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3148
,,,Data Science,,,,
142,7267 (86.3247863),682237210,Electronics and ,JEE(Main),AI to AI,AI,6822
,,,Telecommunication Engg,,,,
143,7272 (86.2999376),628299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6282
,,,Data Science,,,,
144,7348 (86.1473079),680299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6802
,,,Data Science,,,,
145,7417 (86.0840029),303651110,Dyestuff Technology,JEE(Main),AI to AI,AI,3036
146,7430 (86.0424469),622224210,Computer Science and ,JEE(Main),AI to AI,AI,6222
,,,Engineering,,,,
147,7440 (86.0424469),613999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6139
,,,Data Science,,,,
148,7474 (85.9890921),544924610,Information Technology,JEE(Main),AI to AI,AI,5449
149,7489 (85.9645011),615524510,Computer Engineering,JEE(Main),AI to AI,AI,6155
150,7529 (85.9248561),313524610,Information Technology,JEE(Main),AI to AI,AI,3135
,,,,,,,
151,7637 (85.6759556),416791110,Computer Science and ,JEE(Main),AI to AI,AI,4167
,,,Engineering(Artificial ,,,,
152,7700 (85.6015564),512124610,Information Technology,JEE(Main),AI to AI,AI,5121
153,7774 (85.5635738),321192010,Computer Science and ,JEE(Main),AI to AI,AI,3211
,,,Engineering (Internet of ,,,,
154,7839 (85.4408739),617824510,Computer Engineering,JEE(Main),AI to AI,AI,6178
,,,,,,,
,,,,,,,
155,7909 (85.3124602),411624610,Information Technology,JEE(Main),AI to AI,AI,4116
156,7919 (85.3084355),110124210,Computer Science and ,JEE(Main),AI to AI,AI,1101
,,,Engineering,,,,
157,7964 (85.2212445),510824510,Computer Engineering,JEE(Main),AI to AI,AI,5108
,,,,,,,
158,8212 (84.8623944),613992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6139
,,,Machine Learning,,,,
159,8284 (84.7224377),628524550F,Computer Engineering,JEE(Main),AI to AI,AI,6285
,,,,,,,
160,8441 (84.5056065),416724610,Information Technology,JEE(Main),AI to AI,AI,4167
161,8455 (84.4731290),318724510,Computer Engineering,JEE(Main),AI to AI,AI,3187
162,8467 (84.4582982),626524210,Computer Science and ,JEE(Main),AI to AI,AI,6265
,,,Engineering,,,,
163,8563 (84.3303959),320199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3201
,,,Data Science,,,,
164,8618 (84.2384519),512125710,Computer Science and ,JEE(Main),AI to AI,AI,5121
,,,Design,,,,
165,8637 (84.2384519),631024510,Computer Engineering,JEE(Main),AI to AI,AI,6310
,,,,,,,
166,8641 (84.2245274),416725710,Computer Science and ,JEE(Main),AI to AI,AI,4167
,,,Design,,,,
167,8661 (84.1933818),318250710,Chemical Engineering,JEE(Main),AI to AI,AI,3182
168,8663 (84.1917503),617824610,Information Technology,JEE(Main),AI to AI,AI,6178
,,,,,,,
,,,,,,,
169,8667 (84.1917503),417424510,Computer Engineering,JEE(Main),AI to AI,AI,4174
170,8737 (84.1131935),614524510,Computer Engineering,JEE(Main),AI to AI,AI,6145
171,8754 (84.1119737),416726710,Computer Science and ,JEE(Main),AI to AI,AI,4167
,,,Engineering (IoT),,,,
172,8886 (83.8107720),627437210,Electronics and ,JEE(Main),AI to AI,AI,6274
,,,Telecommunication Engg,,,,
173,8905 (83.7703095),321437210,Electronics and ,JEE(Main),AI to AI,AI,3214
,,,Telecommunication Engg,,,,
174,8922 (83.7565654),615699510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6156
,,,Data Science,,,,
175,8942 (83.7406367),614137210,Electronics and ,JEE(Main),AI to AI,AI,6141
,,,Telecommunication Engg,,,,
176,8992 (83.6389554),675437210,Electronics and ,JEE(Main),AI to AI,AI,6754
,,,Telecommunication Engg,,,,
177,9005 (83.6136279),615591110,Computer Science and ,JEE(Main),AI to AI,AI,6155
,,,Engineering(Artificial ,,,,
178,9010 (83.6136279),615524610,Information Technology,JEE(Main),AI to AI,AI,6155
179,9055 (83.5856409),512199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,5121
,,,Data Science,,,,
180,9065 (83.5672180),628524650F,Information Technology,JEE(Main),AI to AI,AI,6285
,,,,,,,
181,9087 (83.5200527),416799510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,4167
,,,Data Science,,,,
182,9111 (83.4878559),614524610,Information Technology,JEE(Main),AI to AI,AI,6145
,,,,,,,
183,9147 (83.3893683),319024510,Computer Engineering,JEE(Main),AI to AI,AI,3190
184,9149 (83.3893683),627837210,Electronics and ,JEE(Main),AI to AI,AI,6278
,,,Telecommunication Engg,,,,
185,9209 (83.3260360),627346410,Instrumentation and ,JEE(Main),AI to AI,AI,6273
,,,Control Engineering,,,,
186,9244 (83.2895847),303651410,Fibres and Textile ,JEE(Main),AI to AI,AI,3036
,,,Processing Technology,,,,
187,9248 (83.2729554),680237210,Electronics and ,JEE(Main),AI to AI,AI,6802
,,,Telecommunication Engg,,,,
188,9260 (83.2232702),677224510,Computer Engineering,JEE(Main),AI to AI,AI,6772
189,9309 (83.1735476),613984410,Electronics and Computer ,JEE(Main),AI to AI,AI,6139
,,,Engineering,,,,
190,9319 (83.1309232),211491110,Computer Science and ,JEE(Main),AI to AI,AI,2114
,,,Engineering(Artificial ,,,,
191,9361 (83.1233710),110124610,Information Technology,JEE(Main),AI to AI,AI,1101
192,9396 (83.0778741),319024610,Information Technology,JEE(Main),AI to AI,AI,3190
193,9401 (83.0778741),413824610,Information Technology,JEE(Main),AI to AI,AI,4138
,,,,,,,
194,9483 (82.9369538),616024510,Computer Engineering,JEE(Main),AI to AI,AI,6160
195,9489 (82.9369538),411519110,Civil Engineering,JEE(Main),AI to AI,AI,4115
196,9541 (82.8344182),620737210,Electronics and ,JEE(Main),AI to AI,AI,6207
,,,Telecommunication Engg,,,,
,,,,,,,
197,9624 (82.7083659),320837210,Electronics and ,JEE(Main),AI to AI,AI,3208
,,,Telecommunication Engg,,,,
198,9674 (82.6470771),320324510,Computer Engineering,JEE(Main),AI to AI,AI,3203
199,9730 (82.6064455),321190010,Electronics and Computer ,JEE(Main),AI to AI,AI,3211
,,,Science,,,,
200,9732 (82.6001834),675524510,Computer Engineering,JEE(Main),AI to AI,AI,6755
201,9733 (82.5896066),628424510,Computer Engineering,JEE(Main),AI to AI,AI,6284
,,,,,,,
202,9810 (82.4720714),347524510,Computer Engineering,JEE(Main),AI to AI,AI,3475
203,9924 (82.2530098),618224510,Computer Engineering,JEE(Main),AI to AI,AI,6182
204,9968 (82.2235249),417424610,Information Technology,JEE(Main),AI to AI,AI,4174
205,9973 (82.2021187),414224210,Computer Science and ,JEE(Main),AI to AI,AI,4142
,,,Engineering,,,,
206,9992 (82.1860829),411691310,Computer Science and ,JEE(Main),AI to AI,AI,4116
,,,Engineering (Artificial ,,,,
207,10007 (82.1822024),612224510,Computer Engineering,JEE(Main),AI to AI,AI,6122
208,10025 (82.1722846),417426010,Computer Science and ,JEE(Main),AI to AI,AI,4174
,,,Engineering (Cyber ,,,,
209,10056 (82.0708675),662224510,Computer Engineering,JEE(Main),AI to AI,AI,6622
210,10063 (82.0708675),318724610,Information Technology,JEE(Main),AI to AI,AI,3187
,,,,,,,
211,10066 (82.0683472),673224510,Computer Engineering,JEE(Main),AI to AI,AI,6732
212,10117 (81.9560356),313599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3135
,,,Data Science,,,,
213,10140 (81.9305307),411661210,Mechanical Engineering,JEE(Main),AI to AI,AI,4116
214,10159 (81.8985814),677224610,Information Technology,JEE(Main),AI to AI,AI,6772
215,10165 (81.8869742),347591210,Computer Science and ,JEE(Main),AI to AI,AI,3475
,,,Engineering(Data Science),,,,
216,10207 (81.8223185),618224610,Information Technology,JEE(Main),AI to AI,AI,6182
217,10248 (81.7802052),622324210,Computer Science and ,JEE(Main),AI to AI,AI,6223
,,,Engineering,,,,
218,10302 (81.7028929),319424510,Computer Engineering,JEE(Main),AI to AI,AI,3194
219,10324 (81.6911972),411691110,Computer Science and ,JEE(Main),AI to AI,AI,4116
,,,Engineering(Artificial ,,,,
220,10350 (81.6536983),318324510,Computer Engineering,JEE(Main),AI to AI,AI,3183
,,,,,,,
221,10427 (81.5753435),411626710,Computer Science and ,JEE(Main),AI to AI,AI,4116
,,,Engineering (IoT),,,,
222,10435 (81.5753435),516024510,Computer Engineering,JEE(Main),AI to AI,AI,5160
,,,,,,,
223,10531 (81.3847722),631024610,Information Technology,JEE(Main),AI to AI,AI,6310
,,,,,,,
224,10602 (81.2680829),626791210,Computer Science and ,JEE(Main),AI to AI,AI,6267
,,,Engineering(Data Science),,,,
,,,,,,,
225,10634 (81.2486065),615591310,Computer Science and ,JEE(Main),AI to AI,AI,6155
,,,Engineering (Artificial ,,,,
226,10662 (81.1784266),678224210,Computer Science and ,JEE(Main),AI to AI,AI,6782
,,,Engineering,,,,
227,10682 (81.1719517),626524610,Information Technology,JEE(Main),AI to AI,AI,6265
228,10708 (81.1532459),411691710,Data Science,JEE(Main),AI to AI,AI,4116
229,10722 (81.1532459),313990010,Electronics and Computer ,JEE(Main),AI to AI,AI,3139
,,,Science,,,,
230,10746 (81.1252112),321024510,Computer Engineering,JEE(Main),AI to AI,AI,3210
,,,,,,,
231,10786 (81.0036547),417491210,Computer Science and ,JEE(Main),AI to AI,AI,4174
,,,Engineering(Data Science),,,,
232,10831 (80.9629107),618724510,Computer Engineering,JEE(Main),AI to AI,AI,6187
,,,,,,,
233,10857 (80.9093247),318824510,Computer Engineering,JEE(Main),AI to AI,AI,3188
,,,,,,,
234,10903 (80.7992821),621456810,Computer Science and ,JEE(Main),AI to AI,AI,6214
,,,Information Technology,,,,
235,10951 (80.7723777),628237210,Electronics and ,JEE(Main),AI to AI,AI,6282
,,,Telecommunication Engg,,,,
236,11055 (80.6602368),317661210,Mechanical Engineering,JEE(Main),AI to AI,AI,3176
237,11098 (80.5571494),615526010,Computer Science and ,JEE(Main),AI to AI,AI,6155
,,,Engineering (Cyber ,,,,
238,11138 (80.4829291),411626010,Computer Science and ,JEE(Main),AI to AI,AI,4116
,,,Engineering (Cyber ,,,,
,,,,,,,
239,11140 (80.4829291),517224510,Computer Engineering,JEE(Main),AI to AI,AI,5172
240,11151 (80.4422489),319624510,Computer Engineering,JEE(Main),AI to AI,AI,3196
241,11197 (80.3549818),320390010,Electronics and Computer ,JEE(Main),AI to AI,AI,3203
,,,Science,,,,
242,11201 (80.3420331),320790010,Electronics and Computer ,JEE(Main),AI to AI,AI,3207
,,,Science,,,,
243,11213 (80.3366701),614637210,Electronics and ,JEE(Main),AI to AI,AI,6146
,,,Telecommunication Engg,,,,
244,11217 (80.3366701),320324610,Information Technology,JEE(Main),AI to AI,AI,3203
245,11293 (80.2488264),319424610,Information Technology,JEE(Main),AI to AI,AI,3194
246,11297 (80.2488264),342324510,Computer Engineering,JEE(Main),AI to AI,AI,3423
247,11306 (80.2488264),319499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3194
,,,Data Science,,,,
248,11317 (80.2271804),626791110,Computer Science and ,JEE(Main),AI to AI,AI,6267
,,,Engineering(Artificial ,,,,
249,11330 (80.1903870),516224510,Computer Engineering,JEE(Main),AI to AI,AI,5162
,,,,,,,
