Sr. No,"All India 
Merit",Institute Code,Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type
,,,,Data Science,,,
201,11387 (79.9776860),3190,319024510,Computer Engineering,JEE(Main),AI to AI,AI
202,11401 (79.9772884),3139,313937210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
203,11535 (79.8681059),5162,516224510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
204,11598 (79.7058856),3190,319026310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI
,,,,and Data Science,,,
205,11628 (79.6677276),4137,413724210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
206,11692 (79.6245030),6182,618224510,Computer Engineering,JEE(Main),AI to AI,AI
207,11837 (79.4205259),6768,676861210,Mechanical Engineering,JEE(Main),AI to AI,AI
208,11885 (79.3788037),4116,411691710,Data Science,JEE(Main),AI to AI,AI
209,12078 (79.0161094),4115,411546110,Bio Medical Engineering,JEE(Main),AI to AI,AI
210,12081 (78.9694561),6284,628424610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
211,12194 (78.8801027),3183,318391110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
212,12275 (78.8012478),4174,417491210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
213,12282 (78.8012478),3148,314824610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
214,12296 (78.8007937),6141,614137210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
215,12317 (78.7949037),6207,620737210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
216,12336 (78.7573554),6175,617561210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
217,12401 (78.6441702),6310,631024510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
218,12436 (78.5824750),4116,411626710,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (IoT),,,
219,12480 (78.5113709),6802,680237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
220,12517 (78.4382599),6622,662299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
221,12524 (78.4157398),6222,622224210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
222,12551 (78.3793078),5160,516024510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
223,12567 (78.3455587),6276,627661250F,Mechanical Engineering,JEE(Main),AI to AI,AI
224,12583 (78.3436544),3197,319761210,Mechanical Engineering,JEE(Main),AI to AI,AI
,,,,,,,
,,,,,,,
225,12609 (78.3346400),3211,321137210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
226,12628 (78.3084461),6772,677224510,Computer Engineering,JEE(Main),AI to AI,AI
227,12634 (78.3084461),2113,211324210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
228,12655 (78.2835649),3188,318824510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
229,12664 (78.2673959),3148,314825210,Cyber Security,JEE(Main),AI to AI,AI
,,,,,,,
230,12665 (78.2673959),6732,673224510,Computer Engineering,JEE(Main),AI to AI,AI
231,12742 (78.2250418),3194,319424610,Information Technology,JEE(Main),AI to AI,AI
232,12796 (78.0410106),3148,314899510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
233,12923 (77.8669990),6267,626791110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
234,13005 (77.7955225),4188,418819110,Civil Engineering,JEE(Main),AI to AI,AI
,,,,,,,
235,13094 (77.7048282),6282,628237210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
236,13106 (77.7048282),3203,320324610,Information Technology,JEE(Main),AI to AI,AI
