Sr.No.,Cut Off Merit (Score),Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type,Institue Code
692,43365 (47.4330409),418724210,Computer Science and Engineering,JEE,MH to AI,LOBCH,
693,43389 (47.4330409),322137210,Electronics and Telecommunication,JEE,MH to AI,GNT1H,
694,43404 (47.4126210),417224210,Computer Science and Engineering,JEE,AI to AI,AI,
695,43547 (47.3309245),512550710,Chemical Engineering,JEE,MH to AI,LSCH,
696,43584 (47.0389653),663519110,Civil Engineering,JEE,MH to AI,GNT1H,
697,43621 (47.0389653),320050710,Chemical Engineering,JEE,MH to AI,LOBCH,
698,43632 (47.0389653),318737610,Electronics Engineering,JEE,MH to AI,GNT1H,
699,43716 (46.9435256),510419110,Civil Engineering,JEE,MH to AI,GNT2H,
700,43821 (46.7418089),679661210,Mechanical Engineering,JEE,MH to AI,LOBCH,
701,43904 (46.7037158),680824510,Computer Engineering,JEE,AI to AI,AI,
702,43942 (46.7037158),510324510,Computer Engineering,JEE,AI to AI,AI,
703,43998 (46.6166826),602819110,Civil Engineering,JEE,MH to AI,GOBCH,
704,44031 (46.4409358),317537210,Electronics and Telecommunication,JEE,MH to AI,LOBCH,
705,44081 (46.2940192),318460610,Production Engineering,JEE,MI to AI,MI,
706,44268 (46.1596337),677024610,Information Technology,JEE,MH to AI,GSEBCH,
707,44290 (46.1596337),677024510,Computer Engineering,JEE,MH to AI,GNT2O,
708,44363 (46.0872541),673237210,Electronics and Telecommunication,JEE,MH to AI,GSCH,
709,44469 (46.0731544),342337210,Electronics and Telecommunication,JEE,AI to AI,AI,
710,44502 (45.9526561),112050710,Chemical Engineering,JEE,AI to AI,AI,
711,44520 (45.9526561),679619110,Civil Engineering,JEE,MH to AI,LSCO,
712,44626 (45.6780507),320329310,Electrical Engineering,JEE,AI to AI,AI,
713,44635 (45.6780507),533024610,Information Technology,JEE,AI to AI,AI,
714,44642 (45.5663046),342319110,Civil Engineering,JEE,MH to AI,GOPENO,
715,45006 (44.9135098),413637210,Electronics and Telecommunication,JEE,AI to AI,AI,
716,45136 (44.7470889),618324510,Computer Engineering,JEE,MH to AI,GOPENH,
717,45164 (44.7470889),319824610,Information Technology,JEE,AI to AI,AI,
718,45240 (44.6260520),617629310,Electrical Engineering,JEE,MH to AI,GOPENO,
719,45427 (44.4371590),321819110,Civil Engineering,JEE,MH to AI,GOPENH,
720,46140 (43.2929930),618324510,Computer Engineering,JEE,MH to AI,GOPENO,
721,46179 (43.2929930),418724210,Computer Science and Engineering,JEE,MH to AI,GVJH,
722,46192 (43.2929930),615519110,Civil Engineering,JEE,MI to AI,MI,
723,46240 (43.2592711),626961210,Mechanical Engineering,JEE,MH to AI,LNT1H,
724,46261 (43.2023601),321624510,Computer Engineering,JEE,MH to AI,GSEBCO,
725,46344 (43.2023601),631161210,Mechanical Engineering,JEE,MH to AI,GNT1H,
726,46540 (42.8689477),211461210,Mechanical Engineering,JEE,AI to AI,AI,
727,46665 (42.8424398),417819110,Civil Engineering,JEE,MH to AI,GNT3H,
728,46678 (42.8424398),510461210,Mechanical Engineering,JEE,AI to AI,AI,
729,46881 (42.4330149),111419110,Civil Engineering,JEE,AI to AI,AI,
730,46903 (42.4330149),419524210,Computer Science and Engineering,JEE,MH to AI,GNT2H,
731,46978 (42.3123772),335124510,Computer Engineering,JEE,MH to AI,GSCH,
732,47016 (42.3123772),618424610,Information Technology,JEE,MH to AI,GSCO,
733,47022 (42.3123772),430561210,Mechanical Engineering,JEE,MH to AI,GOPENO,
734,47103 (41.9714097),418724210,Computer Science and Engineering,JEE,MH to AI,GSEBCO,
735,47168 (41.7203253),515137210,Electronics and Telecommunication,JEE,MH to AI,LSCH,
736,47270 (41.6030569),612261210,Mechanical Engineering,JEE,MH to AI,GNT1H,
737,47335 (41.5378576),315437210,Electronics and Telecommunication,JEE,MH to AI,GNT2H,
738,47404 (41.5004904),414719110,Civil Engineering,JEE,MH to AI,LOBCH,
739,47493 (41.0782060),212619110,Civil Engineering,JEE,MH to AI,GOBCH,
740,47541 (41.0647492),516824510,Computer Engineering,JEE,MH to AI,GNT2H,
741,47604 (41.0540043),532224510,Computer Engineering,JEE,MH to AI,LOPENO,
