"Institute_Code";"ChoiceCode";"CourseName";"Exam";"CutoffRank";"CutoffScore"
3190;"319024610";"Information Technology";"JEE";11023;81.2676
3212;"321224510";"Computer Engineering";"JEE";11070;81.1457
6222;"622224210";"Computer Science and Engineering";"JEE";11190;81.0826
3211;"321137210";"Electronics and Telecommunication
Engg";"JEE";11205;81.0826
3188;"318824510";"Computer Engineering";"JEE";11343;80.9835
3139;"313937210";"Electronics and Telecommunication
Engg";"JEE";11421;80.8987
5121;"512199510";"Artificial Intelligence and Data Science";"JEE";11464;80.7278
6274;"627461210";"Mechanical Engineering";"JEE";11557;80.5367
6146;"614619110";"Civil Engineering";"JEE";11637;80.4708
4175;"417519110";"Civil Engineering";"JEE";11680;80.4708
4136;"413624210";"Computer Science and Engineering";"JEE";11778;80.4363
2114;"211424210";"Computer Science and Engineering";"JEE";11875;80.3809
6273;"627350710";"Chemical Engineering";"JEE";11973;80.2983
3475;"347524610";"Information Technology";"JEE";12009;80.2951
1105;"110524210";"Computer Science and Engineering";"JEE";12011;80.2951
5162;"516224610";"Information Technology";"JEE";12020;80.2951
6141;"614137210";"Electronics and Telecommunication
Engg";"JEE";12077;80.0548
6284;"628424610";"Information Technology";"JEE";12254;79.8129
6732;"673224510";"Computer Engineering";"JEE";12428;79.5845
6298;"629824510";"Computer Engineering";"JEE";12431;79.5845
3183;"318337210";"Electronics and Telecommunication
Engg";"JEE";12432;79.5845
5160;"516024610";"Information Technology";"JEE";12449;79.5845
3204;"320437210";"Electronics and Telecommunication
Engg";"JEE";12464;79.5845
6182;"618224520";"Computer Engineering";"JEE";12497;79.5845
5330;"533024510";"Computer Engineering";"JEE";12516;79.5845
3148;"314899510";"Artificial Intelligence and Data Science";"JEE";12579;79.4108
4171;"417124210";"Computer Science and Engineering";"JEE";12643;79.3434
6310;"631024510";"Computer Engineering";"JEE";12653;79.3
6276;"627661210F";"Mechanical Engineering";"JEE";12661;79.3
6267;"626708210";"Bio Technology";"JEE";12701;79.3
3196;"319691210";"Computer Science and
Engineering(Data Science)";"JEE";12789;79.2966
3187;"318724610";"Information Technology";"JEE";12904;79.1882
6139;"613999510";"Artificial Intelligence and Data Science";"JEE";12941;79.1532
3175;"317524510";"Computer Engineering";"JEE";13021;79.0106
6649;"664924510";"Computer Engineering";"JEE";13077;78.8492
5172;"517224510";"Computer Engineering";"JEE";13081;78.8492
4138;"413824210";"Computer Science and Engineering";"JEE";13141;78.7087
6282;"628299510";"Artificial Intelligence and Data Science";"JEE";13236;78.5509
4167;"416737210";"Electronics and Telecommunication
Engg";"JEE";13243;78.5509
6182;"618224610";"Information Technology";"JEE";13264;78.5487
3146;"314624510";"Computer Engineering";"JEE";13300;78.507
6289;"628919110";"Civil Engineering";"JEE";13310;78.507
6273;"627346410";"Instrumentation and Control
Engineering";"JEE";13314;78.507
6214;"621419110";"Civil Engineering";"JEE";13424;78.4246
3439;"343924510";"Computer Engineering";"JEE";13432;78.4246
3154;"315424510";"Computer Engineering";"JEE";13436;78.4246
6146;"614650710";"Chemical Engineering";"JEE";13437;78.4246
4142;"414299710";"Artificial Intelligence";"JEE";13461;78.378
3148;"314825210";"Cyber Security";"JEE";13482;78.3747
6179;"617924510";"Computer Engineering";"JEE";13492;78.3747
6214;"621429310";"Electrical Engineering";"JEE";13725;77.9128
6772;"677224510";"Computer Engineering";"JEE";13727;77.9128
5139;"513924510";"Computer Engineering";"JEE";13752;77.9128
6214;"621437210";"Electronics and Telecommunication
Engg";"JEE";13887;77.8981
6802;"680237210";"Electronics and Telecommunication
Engg";"JEE";13891;77.8981
4136;"413699710";"Artificial Intelligence";"JEE";13902;77.778
6206;"620624510";"Computer Engineering";"JEE";13940;77.7159
6282;"628237210";"Electronics and Telecommunication
Engg";"JEE";13951;77.7159
3192;"319224510";"Computer Engineering";"JEE";14005;77.6563
4116;"411637210";"Electronics and Telecommunication
Engg";"JEE";14096;77.5295
3188;"318824610";"Information Technology";"JEE";14207;77.4639
6187;"618724510";"Computer Engineering";"JEE";14239;77.4639
5164;"516429310";"Electrical Engineering";"JEE";14323;77.3008
4171;"417124610";"Information Technology";"JEE";14344;77.3008
3223;"322324610";"Information Technology";"JEE";14433;77.1537
6185;"618524510";"Computer Engineering";"JEE";14444;77.1537
6298;"629824520";"Computer Engineering";"JEE";14623;76.7585
5121;"512119110";"Civil Engineering";"JEE";14766;76.7219
6756;"675619110";"Civil Engineering";"JEE";14790;76.7169
4177;"417724210";"Computer Science and Engineering";"JEE";14832;76.7169
6622;"662224510";"Computer Engineering";"JEE";14903;76.6575
3218;"321824610";"Information Technology";"JEE";15079;76.4229
6187;"618724520";"Computer Engineering";"JEE";15117;76.325
6265;"626537210";"Electronics and Telecommunication
Engg";"JEE";15180;76.2857
6146;"614637610";"Electronics Engineering";"JEE";15244;76.1276
6203;"620324510";"Computer Engineering";"JEE";15274;76.0102
3207;"320761210";"Mechanical Engineering";"JEE";15277;76.0102
