Institute_Code,Institute_Name,City,Status,Total_Intake
5303,Hon. Shri. Babanrao Pachpute Vichardhara Trust,Kashti,Un-Aided,360
5322,Jamia Institute Of Engineering And Management Studies,Akkalkuwa,Un-Aided,120
5330,PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT,NASHIK,Un-Aided,300
5331,Sandip Foundation's,Nashik,Un-Aided,360
5365,Vardhaman Education & Welfare Society,Dhule,Un-Aided,180
5380,Adsul's Technical Campus,Ahmednagar,Un-Aided,360
5381,Shri. Jaykumar Rawal Institute of Technology,Dondaicha,Un-Aided,240
5382,Ahmednagar Jilha Maratha Vidya Prasarak Samajache,Nepti,Un-Aided,300
5390,K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research,Nashik.,Un-Aided,270
5396,College of Engineering and Technology,Jalgaon,Un-Aided,120
5399,Sanghavi College of Engineering,Nashik,Un-Aided,240
5401,Jawahar Education Society's Institute of Technology,Nashik,Un-Aided,316
5408,Vidya Niketan College of Engineering,Bota Sangamner,Un-Aided,270
5409,Rajiv Gandhi College of Engineering,Dist.Ahmednagar,Un-Aided,360
5411,Maulana Mukhtar Ahmad Nadvi Technical Campus,Malegaon.,Un-Aided,300
5418,Guru Gobind Singh College of Engineering & Research Centre,Nashik.,Un-Aided,420
5449,Shri Vile Parle Kelavani Mandal's Institute of Technology,Dhule,"Un-Aided, ",360
5497,P.G. College of Engineering & Technology,Nandurbar,Un-Aided,240
6004,Government College of Engineering & Research,Avasari Khurd,Aided,360
6005,Government College of Engineering,Karad,Aided,300
6006,COEP Technological University,Pune,Un-Aided,773
6007,Walchand College of Engineering,Sangli,Aided,390
6028,Department of Technology,Kolhapur,Un-Aided,360
6036,Government College of Engineering,Kolhapur,Aided,300
6122,TSSMS's Pd. Vasantdada Patil Institute of Technology,Pune,Un-Aided,480
6138,Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Pune,Un-Aided,420
6139,Progressive Education Society's Modern College of Engineering,Pune,Un-Aided,960
6141,Jaywant Shikshan Prasarak Mandal's,Pune,Un-Aided,840
6144,Genba Sopanrao Moze College of Engineering,Pune,Un-Aided,480
6145,JSPM'S Jaywantrao Sawant College of Engineering,Pune,Un-Aided,600
6146,MIT Academy of Engineering,Pune,Un-Aided,780
6149,Siddhant College of Engineering,Pune,Un-Aided,360
6155,G.H.Raisoni College of Engineering & Management,Pune,Un-Aided,1050
6156,Marathwada Mitra Mandal's College of Engineering,Pune,Un-Aided,540
6175,Pimpri Chinchwad Education Trust,Pune,Un-Aided,900
6177,Sinhgad College of Engineering,Pune,Un-Aided,1200
6178,Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Pune,Un-Aided,1050
6179,Indira College of Engineering & Management,Pune,Un-Aided,300
6182,Sinhgad Technical Education Society,Pune,Un-Aided,450
6183,Al-Ameen Educational and Medical Foundation,Bhima,Un-Aided,138
6184,K. J.'s Educational Institut Trinity College of Engineering and Research,Haveli,Un-Aided,420
6185,Sinhgad Institute of Technology,Pune,Un-Aided,630
6187,Sinhgad Academy of Engineering,Pune,Un-Aided,600
6203,Marathwada Mitra Mandal's Institute of Technology,Pune,Un-Aided,360
6206,Pune District Education Association's College of Engineering,Pune,Un-Aided,360
6207,Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology,Pune,Un-Aided,1110
6214,K. E. Society's Rajarambapu Institute of Technology,Sangli,Un-Aided,690
6217,Shri. Balasaheb Mane Shikshan Prasarak Mandal's,Ashokrao Mane Group of Institutions,Un-Aided,510
6219,KSGBS's Bharat- Ratna Indira Gandhi College of Engineering,Solapur,Un-Aided,342
6220,Shri Vithal Education and Research Institute's College of Engineering,Pandharpur,Un-Aided,540
6222,Dattajirao Kadam Technical Education Society's Textile & Engineering Institute,Ichalkaranji.,Un-Aided,810
6223,Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology,Solapur,Un-Aided,540
6250,D.Y. Patil College of Engineering and Technology,Kolhapur,Un-Aided,900
6265,Walchand Institute of Technology,Solapur,Un-Aided,600
6267,Kolhapur Institute of Technology's College of Engineering(Autonomous),Kolhapur,Un-Aided,1110
6268,Tatyasaheb Kore Institute of Engineering and Technology,Warananagar,Un-Aided,600
6269,Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,Sangli,Un-Aided,630
6270,Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering,Satara,Un-Aided,300
6271,Pune Institute of Computer Technology,Pune,Un-Aided,780
6272,Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi,Pune,Un-Aided,1080
6273,Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology,Pune,Un-Aided,1320
6274,Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of Management,Pune,Un-Aided,540
6275,Shivnagar Vidya Prasarak Mandal's College of Engineering,Malegaon-Baramati,Un-Aided,390
6276,MKSSS's Cummins College of Engineering for Women,Pune,Un-Aided,540
6277,Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering,Jaysingpur,Un-Aided,360
6278,All India Shri Shivaji Memorial Society's College of Engineering,Pune,Un-Aided,690
6281,Modern Education Society's Wadia College of Engineering,Pune,Un-Aided,480
6282,All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune,Un-Aided,540
